Date,Time,InstructorName,Minutes,Activity Type,Class,Title,TotalOutput,AvgWatts,AvgResistance,AvgCadence,AvgSpeed,Distance,Calories,AvgHR
3/18/20 0:00,2:13:00 PM,Christine D'Ercole,30,Cycling,Low Impact,30 min Low Impact Ride,165,92,0.36,84,15.52,7.76,255,133.89
3/19/20 0:00,2:00:00 PM,Denis Morton,45,Cycling,Low Impact,45 min Low Impact Ride,249,92,0.38,79,15.55,11.66,307,119.12
3/20/20 0:00,12:12:00 PM,Hannah Marie Corbin,5,Cycling,Low Impact,5 min Warm Up Ride,18,60,0.32,75,12.86,1.07,23,98.36
3/20/20 0:00,12:19:00 PM,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,385,107,0.4,80,16.6,16.6,504,132.92
3/20/20 0:00,1:21:00 PM,Ben Alldis,15,Cycling,Low Impact,15 min Low Impact Ride,77,85,0.34,86,14.98,3.75,118,128.26
3/21/20 0:00,4:34:00 PM,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,477,106,0.39,81,16.51,20.63,535,121.7
3/21/20 0:00,5:52:00 PM,Leanne Hainsby,15,Cycling,Low Impact,15 min Low Impact Ride,77,86,0.38,74,14.97,3.73,89,111.4
3/22/20 0:00,5:21:00 PM,Christine D'Ercole,45,Cycling,Low Impact,45 min Low Impact Ride,272,101,0.39,80,16.21,12.15,293,116.37
3/22/20 0:00,6:08:00 PM,Ben Alldis,15,Cycling,Low Impact,15 min Low Impact Ride,77,86,0.37,76,15.07,3.76,86,109.78
3/23/20 0:00,5:22:00 PM,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Ride,296,110,0.38,83,16.54,12.4,314,120.26
3/23/20 0:00,6:08:00 PM,Ben Alldis,5,Cycling,Low Impact,5 min Cool Down Ride,26,88,0.38,77,15.34,1.27,29,109.74
3/24/20 0:00,4:57:00 PM,Hannah Marie Corbin,45,Cycling,Low Impact,45 min Low Impact Ride,246,91,0.39,76,15.57,11.67,273,112.61
3/25/20 0:00,4:53:00 PM,Ally Love,5,Cycling,Low Impact,5 min Warm Up Ride,23,77,0.33,84,14.46,1.2,25,103.34
